gene_id	transcript_id	gene_name	gene_type	Promoter	UTR5	CDS	UTR3	Stop Codon	Intron	Transcript	peakDetail	Sample
ENSMUSG00000026219.14	ENSMUST00000027421.12	Trip12	protein_coding	0	0	2	0	1	0	2	chr1:84786169-84795733|Locus_3164,chr1:84724439-84725444|Locus_3165	group1
ENSMUSG00000026220.6	ENSMUST00000027422.6	Slc16a14	protein_coding	0	0	1	0	0	0	1	chr1:84912564-84913063|Locus_15193	group1
ENSMUSG00000026227.11	ENSMUST00000027429.10	2810459M11Rik	protein_coding	0	0	1	0	1	0	1	chr1:86052951-86053350|Locus_15570	group1
ENSMUSG00000026229.17	ENSMUST00000027432.8	Psmd1	protein_coding	0	0	1	0	1	0	1	chr1:86133666-86136968|Locus_14799	group1
ENSMUSG00000026234.12	ENSMUST00000027438.7	Ncl	protein_coding	0	0	3	0	1	0	3	chr1:86357316-86357415|Locus_202,chr1:86357166-86357215|Locus_203,chr1:86350269-86350883|Locus_204	group1
ENSMUSG00000026239.14	ENSMUST00000027444.14	Pde6d	protein_coding	0	1	1	0	1	0	2	chr1:86582402-86582601|Locus_4450,chr1:86543119-86545401|Locus_4451	group1
ENSMUSG00000026235.14	ENSMUST00000027451.12	Epha4	protein_coding	0	0	3	2	1	0	5	chr1:77506699-77511744|Locus_2622,chr1:77506624-77506673|Locus_2623,chr1:77369635-77374816|Locus_2624,chr1:77369110-77369509|Locus_2625,chr1:77368560-77368834|Locus_2626	group1
ENSMUSG00000026248.9	ENSMUST00000027464.8	Mrpl44	protein_coding	0	0	1	0	0	0	1	chr1:79777864-79778188|Locus_14550	group1
ENSMUSG00000048000.15	ENSMUST00000027475.14	Gigyf2	protein_coding	0	1	3	2	0	0	6	chr1:87326998-87334299|Locus_7449,chr1:87423221-87428596|Locus_7451,chr1:87428622-87428696|Locus_7452,chr1:87433138-87433743|Locus_7453,chr1:87449521-87449770|Locus_7454,chr1:87450246-87450545|Locus_7455	group1
ENSMUSG00000026260.12	ENSMUST00000027478.6	Ndufa10	protein_coding	0	0	0	1	1	0	1	chr1:92439510-92439734|Locus_13778	group1
ENSMUSG00000026269.14	ENSMUST00000027487.14	Rnpepl1	protein_coding	0	0	1	0	1	0	1	chr1:92919656-92920530|Locus_1266	group1
ENSMUSG00000026275.13	ENSMUST00000027494.10	Ppp1r7	protein_coding	0	0	1	4	1	0	5	chr1:93343579-93346222|Locus_13198,chr1:93365070-93365519|Locus_13199,chr1:93365720-93366544|Locus_13200,chr1:93366845-93367019|Locus_13201,chr1:93372845-93373094|Locus_13202	group1
ENSMUSG00000026277.13	ENSMUST00000027498.13	Stk25	protein_coding	0	0	1	0	1	0	1	chr1:93622151-93622525|Locus_12760	group1
ENSMUSG00000026280.17	ENSMUST00000027502.15	Atg4b	protein_coding	0	0	2	0	1	0	2	chr1:93754948-93755204|Locus_13361,chr1:93787758-93788157|Locus_13362	group1
ENSMUSG00000026283.13	ENSMUST00000027505.12	Ing5	protein_coding	0	0	0	2	1	0	2	chr1:93818398-93818722|Locus_13141,chr1:93818748-93819097|Locus_13142	group1
ENSMUSG00000026289.15	ENSMUST00000027512.12	Atg16l1	protein_coding	0	0	0	1	1	0	1	chr1:87791326-87791625|Locus_16546	group1
ENSMUSG00000055013.15	ENSMUST00000027521.14	Agap1	protein_coding	0	0	0	3	1	0	3	chr1:89888914-89889263|Locus_11202,chr1:89890439-89890738|Locus_11203,chr1:89890839-89890888|Locus_11204	group1
ENSMUSG00000026307.12	ENSMUST00000027532.12	Scly	protein_coding	0	0	0	0	0	1	1	chr1:91310953-91311227|Locus_11814	group1
ENSMUSG00000026317.7	ENSMUST00000027554.7	Cln8	protein_coding	0	0	1	1	1	0	2	chr8:14896565-14897314|Locus_9818,chr8:14897390-14897439|Locus_9819	group1
ENSMUSG00000026321.7	ENSMUST00000027559.7	Tnfrsf11a	protein_coding	0	0	2	0	1	0	2	chr1:105827263-105827637|Locus_6701,chr1:105844797-105844871|Locus_6702	group1
ENSMUSG00000026322.8	ENSMUST00000027560.6	Htr4	protein_coding	0	0	2	1	1	0	3	chr18:62437564-62437888|Locus_3302,chr18:62464488-62464537|Locus_3303,chr18:62465188-62466737|Locus_3304	group1
ENSMUSG00000026343.6	ENSMUST00000027581.6	Gpr39	protein_coding	0	0	2	0	2	0	2	chr1:125840255-125873322|Locus_14996,chr1:125872072-125873321|Locus_15512	group1
ENSMUSG00000026353.9	ENSMUST00000027592.5	Ubxn4	protein_coding	0	0	1	0	1	0	1	chr1:128274943-128277169|Locus_14058	group1
ENSMUSG00000026355.11	ENSMUST00000027601.10	Mcm6	protein_coding	0	0	1	0	1	0	1	chr1:128331740-128332014|Locus_3934	group1
ENSMUSG00000026356.15	ENSMUST00000027602.14	Dars	protein_coding	0	0	1	0	0	0	1	chr1:128417211-128417360|Locus_7236	group1
ENSMUSG00000026360.9	ENSMUST00000027606.3	Rgs2	protein_coding	0	0	0	0	1	0	0	NA	group1
ENSMUSG00000026377.12	ENSMUST00000027626.12	Nifk	protein_coding	0	0	1	0	1	0	1	chr1:118332858-118333132|Locus_14140	group1
ENSMUSG00000026404.12	ENSMUST00000027655.7	Ddx59	protein_coding	0	0	4	0	1	0	4	chr1:136416629-136416753|Locus_14159,chr1:136416779-136416878|Locus_14160,chr1:136417029-136417428|Locus_14161,chr1:136439881-136440030|Locus_14162	group1
ENSMUSG00000026424.8	ENSMUST00000027682.8	Gpr37l1	protein_coding	0	0	3	1	1	0	4	chr1:135167063-135167612|Locus_3888,chr1:135161334-135161658|Locus_3889,chr1:135160834-135161208|Locus_3890,chr1:135160484-135160533|Locus_3891	group1
ENSMUSG00000026443.3	ENSMUST00000027706.3	Lrrn2	protein_coding	0	0	4	0	1	0	4	chr1:132937636-132937685|Locus_3710,chr1:132937711-132938185|Locus_3711,chr1:132938636-132939110|Locus_3712,chr1:132939336-132939710|Locus_3713	group1
ENSMUSG00000026469.14	ENSMUST00000027741.11	Xpr1	protein_coding	0	0	0	1	1	0	1	chr1:155280376-155280950|Locus_5039	group1
ENSMUSG00000026470.14	ENSMUST00000027743.12	Stx6	protein_coding	0	0	0	2	1	0	2	chr1:155202078-155202577|Locus_12695,chr1:155202628-155202777|Locus_12696	group1
ENSMUSG00000026475.7	ENSMUST00000027748.7	Rgs16	protein_coding	0	0	1	1	1	0	2	chr1:153742126-153744329|Locus_5019,chr1:153744980-153745154|Locus_5020	group1
ENSMUSG00000026478.14	ENSMUST00000027752.14	Lamc1	protein_coding	0	0	1	1	1	0	2	chr1:153221447-153223700|Locus_7266,chr1:153221047-153221221|Locus_7267	group1
ENSMUSG00000026491.13	ENSMUST00000027768.13	Ahctf1	protein_coding	0	0	4	1	1	0	5	chr1:179753317-179754509|Locus_7308,chr1:179752717-179753166|Locus_7309,chr1:179748572-179752641|Locus_7310,chr1:179746297-179746496|Locus_7311,chr1:179745447-179745571|Locus_7312	group1
ENSMUSG00000026499.5	ENSMUST00000027780.5	Acbd3	protein_coding	0	0	3	0	1	0	3	chr1:180734415-180734464|Locus_3796,chr1:180736764-180738525|Locus_3797,chr1:180745209-180752699|Locus_3798	group1
ENSMUSG00000026511.7	ENSMUST00000027792.5	Srp9	protein_coding	0	0	0	1	0	0	1	chr1:182132003-182132202|Locus_10109	group1
ENSMUSG00000026516.8	ENSMUST00000027797.8	Nvl	protein_coding	0	0	0	1	0	0	1	chr1:181091038-181091512|Locus_13866	group1
ENSMUSG00000026525.9	ENSMUST00000027809.7	Opn3	protein_coding	0	0	0	0	0	0	0	NA	group1
ENSMUSG00000026544.6	ENSMUST00000027826.6	Dusp23	protein_coding	0	0	0	1	1	0	1	chr1:172631464-172631563|Locus_14309	group1
ENSMUSG00000026556.15	ENSMUST00000027837.12	Vangl2	protein_coding	0	0	1	0	1	0	1	chr1:172004510-172006111|Locus_17112	group1
ENSMUSG00000026571.12	ENSMUST00000027856.12	Dcaf6	protein_coding	0	0	1	0	0	0	1	chr1:165350922-165351246|Locus_15865	group1
ENSMUSG00000026576.12	ENSMUST00000027863.12	Atp1b1	protein_coding	0	0	1	0	1	0	1	chr1:164438184-164438383|Locus_1964	group1
ENSMUSG00000026577.13	ENSMUST00000027866.10	Blzf1	protein_coding	0	0	1	0	0	0	1	chr1:164302295-164302544|Locus_13177	group1
ENSMUSG00000026578.6	ENSMUST00000027867.6	Ccdc181	protein_coding	0	0	1	0	0	0	1	chr1:164279949-164280598|Locus_16116	group1
ENSMUSG00000026586.16	ENSMUST00000027878.13	Prrx1	protein_coding	0	0	1	0	1	0	1	chr1:163248019-163248268|Locus_4590	group1
ENSMUSG00000033544.6	ENSMUST00000027885.7	Angptl1	protein_coding	0	0	1	0	0	0	1	chr1:156844779-156844853|Locus_15549	group1
ENSMUSG00000026603.13	ENSMUST00000027897.7	Smyd2	protein_coding	0	0	1	0	1	0	1	chr1:189880617-189882158|Locus_7331	group1
ENSMUSG00000026617.16	ENSMUST00000027916.12	Bpnt1	protein_coding	0	0	1	0	1	0	1	chr1:185356595-185356669|Locus_8675	group1
ENSMUSG00000026618.11	ENSMUST00000027921.10	Iars2	protein_coding	0	0	0	1	1	0	1	chr1:185286826-185287000|Locus_11340	group1
ENSMUSG00000026620.11	ENSMUST00000027929.9	Mark1	protein_coding	0	0	1	1	1	0	2	chr1:184898414-184905442|Locus_7323,chr1:184897539-184898088|Locus_7324	group1
ENSMUSG00000026627.7	ENSMUST00000027940.5	Tmem206	protein_coding	0	0	0	1	1	0	1	chr1:191349894-191350168|Locus_13571	group1
ENSMUSG00000026628.13	ENSMUST00000027941.13	Atf3	protein_coding	0	0	0	1	0	0	1	chr1:191170621-191170845|Locus_1961	group1
ENSMUSG00000026634.16	ENSMUST00000027947.12	Angel2	protein_coding	0	0	1	0	1	0	1	chr1:190943930-190945178|Locus_11914	group1
ENSMUSG00000026640.12	ENSMUST00000027952.11	Plxna2	protein_coding	0	0	2	4	1	0	6	chr1:194620175-194644212|Locus_4578,chr1:194812098-194812472|Locus_4579,chr1:194812548-194812897|Locus_4580,chr1:194812998-194813272|Locus_4581,chr1:194813648-194813922|Locus_4582,chr1:194814173-194814447|Locus_4583	group1
ENSMUSG00000026646.16	ENSMUST00000027956.8	Suv39h2	protein_coding	0	0	1	1	1	0	2	chr2:3464300-3464849|Locus_12967,chr2:3458465-3458514|Locus_12968	group1
ENSMUSG00000109865.1	ENSMUST00000027961.11	Hspa14	protein_coding	0	0	0	0	0	0	0	NA	group1
ENSMUSG00000026662.13	ENSMUST00000027973.13	Sephs1	protein_coding	0	0	1	1	1	0	2	chr2:4906658-4906982|Locus_1335,chr2:4908083-4908557|Locus_1336	group1
ENSMUSG00000026663.6	ENSMUST00000027974.6	Atf6	protein_coding	0	0	1	0	1	0	1	chr1:170709624-170710073|Locus_7297	group1
ENSMUSG00000026676.7	ENSMUST00000027988.7	Ccdc3	protein_coding	0	0	1	0	1	0	1	chr2:5229159-5229208|Locus_15905	group1
ENSMUSG00000026675.12	ENSMUST00000027989.12	Hsd17b7	protein_coding	0	0	0	1	1	0	1	chr1:169952685-169953009|Locus_3269	group1
ENSMUSG00000038530.11	ENSMUST00000027991.11	Rgs4	protein_coding	0	0	1	0	1	0	1	chr1:169743527-169743876|Locus_5024	group1
ENSMUSG00000026679.3	ENSMUST00000027992.2	Enkur	protein_coding	0	0	0	1	1	0	1	chr2:21180781-21180830|Locus_15023	group1
ENSMUSG00000026678.10	ENSMUST00000027997.8	Rgs5	protein_coding	0	0	1	0	0	0	1	chr1:169655501-169676855|Locus_5025	group1
ENSMUSG00000026694.19	ENSMUST00000028017.15	Mettl13	protein_coding	0	0	3	0	1	0	3	chr1:162546237-162546311|Locus_15078,chr1:162545837-162545986|Locus_15079,chr1:162534077-162534376|Locus_15080	group1
ENSMUSG00000026697.10	ENSMUST00000028020.10	Myoc	protein_coding	0	1	3	0	2	0	4	chr1:162639155-162639254|Locus_4137,chr1:162639305-162639654|Locus_4138,chr1:162648570-162649094|Locus_4139,chr1:162649170-162649344|Locus_4140	group1
ENSMUSG00000026707.15	ENSMUST00000028034.14	Nsun6	protein_coding	0	0	1	0	1	0	1	chr2:14996206-14998225|Locus_16023	group1
ENSMUSG00000026708.16	ENSMUST00000028035.13	Cenpl	protein_coding	0	0	1	0	0	0	1	chr1:161082983-161083257|Locus_14851	group1
ENSMUSG00000026721.15	ENSMUST00000028052.11	Rabgap1l	protein_coding	0	0	2	0	1	0	2	chr1:160226422-160236642|Locus_10361,chr1:160223974-160226121|Locus_10362	group1
ENSMUSG00000026729.9	ENSMUST00000028061.8	4930562F07Rik	lincRNA	1	0	0	0	0	1	1	chr1:160075473-160075647|Locus_13976,chr1:160078298-160078397|Locus_13977	group1
ENSMUSG00000026739.13	ENSMUST00000028071.12	Bmi1	protein_coding	0	0	1	0	1	0	1	chr2:18684156-18684830|Locus_2042	group1
ENSMUSG00000026743.16	ENSMUST00000028076.14	Mllt10	protein_coding	0	0	2	0	0	0	2	chr2:18207740-18208064|Locus_2494,chr2:18162394-18162593|Locus_3982	group1
ENSMUSG00000026748.13	ENSMUST00000028081.12	Plxdc2	protein_coding	0	0	1	0	1	0	1	chr2:16729391-16751992|Locus_13854	group1
ENSMUSG00000026750.6	ENSMUST00000028083.5	Psmb7	protein_coding	0	1	0	0	0	0	1	chr2:38643942-38643991|Locus_4684	group1
ENSMUSG00000026753.5	ENSMUST00000028087.5	Ppp6c	protein_coding	0	0	0	1	0	0	1	chr2:39196779-39196903|Locus_14085	group1
ENSMUSG00000026761.12	ENSMUST00000028098.10	Orc4	protein_coding	0	0	1	1	1	0	2	chr2:48905299-48905423|Locus_9674,chr2:48903724-48903773|Locus_9675	group1
ENSMUSG00000026764.15	ENSMUST00000028102.13	Kif5c	protein_coding	0	0	0	1	0	0	1	chr2:49771387-49771961|Locus_3611	group1
ENSMUSG00000026765.12	ENSMUST00000028103.12	Lypd6b	protein_coding	0	0	1	0	1	0	1	chr2:49947546-49948070|Locus_15228	group1
ENSMUSG00000026768.10	ENSMUST00000028106.10	Itga8	protein_coding	0	0	0	1	0	0	1	chr2:12108582-12108856|Locus_9084	group1
ENSMUSG00000026775.9	ENSMUST00000028117.3	Yme1l1	protein_coding	0	1	1	0	1	0	2	chr2:23156494-23156668|Locus_10197,chr2:23195348-23197326|Locus_10198	group1
ENSMUSG00000026778.13	ENSMUST00000028118.8	Prkcq	protein_coding	0	0	1	0	1	0	1	chr2:11299967-11300616|Locus_4533	group1
ENSMUSG00000026781.15	ENSMUST00000028121.13	Acbd5	protein_coding	0	0	0	2	1	0	2	chr2:23112675-23112724|Locus_15895,chr2:23112750-23113174|Locus_15896	group1
ENSMUSG00000026791.14	ENSMUST00000028129.12	Slc2a8	protein_coding	0	0	0	1	1	0	1	chr2:32973115-32973539|Locus_12268	group1
ENSMUSG00000026796.16	ENSMUST00000028135.14	Fam129b	protein_coding	0	0	1	0	1	0	1	chr2:32923658-32924157|Locus_7557	group1
ENSMUSG00000026798.10	ENSMUST00000028137.9	Coq4	protein_coding	0	0	1	0	1	0	1	chr2:29796562-29797036|Locus_7535	group1
ENSMUSG00000026810.12	ENSMUST00000028151.6	Dpm2	protein_coding	0	0	1	0	1	0	1	chr2:32573009-32573579|Locus_2504	group1
ENSMUSG00000026812.16	ENSMUST00000028155.11	Tsc1	protein_coding	0	0	3	2	1	0	5	chr2:28676093-28676392|Locus_12971,chr2:28676418-28676492|Locus_12972,chr2:28686003-28687384|Locus_12973,chr2:28690685-28690759|Locus_12974,chr2:28690960-28691134|Locus_12975	group1
ENSMUSG00000026820.5	ENSMUST00000028162.4	Ptges2	protein_coding	0	0	1	0	1	0	1	chr2:32402265-32402514|Locus_17279	group1
ENSMUSG00000026826.13	ENSMUST00000028166.8	Nr4a2	protein_coding	0	0	1	1	1	0	2	chr2:57107880-57108404|Locus_4357,chr2:57107805-57107854|Locus_4358	group1
ENSMUSG00000026821.15	ENSMUST00000028170.14	Ralgds	protein_coding	0	0	1	1	1	0	2	chr2:28550559-28552786|Locus_5014,chr2:28552862-28552936|Locus_5015	group1
ENSMUSG00000026834.13	ENSMUST00000028178.13	Acvr1c	protein_coding	0	0	0	2	0	0	2	chr2:58271453-58271827|Locus_9908,chr2:58268028-58268102|Locus_9909	group1
ENSMUSG00000026841.7	ENSMUST00000028188.7	Fibcd1	protein_coding	0	0	0	1	0	0	1	chr2:31814990-31815814|Locus_17347	group1
ENSMUSG00000026848.14	ENSMUST00000028199.11	Tor1b	protein_coding	0	0	2	1	1	0	3	chr2:30953659-30954033|Locus_10434,chr2:30956914-30957663|Locus_10435,chr2:30958914-30958988|Locus_10436	group1
ENSMUSG00000026849.18	ENSMUST00000028200.8	Tor1a	protein_coding	0	0	2	0	1	0	2	chr2:30967064-30967413|Locus_10429,chr2:30960677-30963478|Locus_10430	group1
ENSMUSG00000026851.9	ENSMUST00000028205.9	BC005624	protein_coding	0	0	0	1	0	0	1	chr2:30972277-30972401|Locus_7546	group1
ENSMUSG00000026856.14	ENSMUST00000028209.14	Dolpp1	protein_coding	0	0	1	0	1	0	1	chr2:30399147-30399546|Locus_12556	group1
ENSMUSG00000035949.15	ENSMUST00000028220.9	Fbxw2	protein_coding	0	1	2	0	1	0	3	chr2:34825947-34826071|Locus_10406,chr2:34816057-34823115|Locus_10407,chr2:34805564-34806316|Locus_10408	group1
ENSMUSG00000026864.13	ENSMUST00000028222.12	Hspa5	protein_coding	0	0	1	0	1	0	1	chr2:34775227-34776418|Locus_3156	group1
ENSMUSG00000026869.12	ENSMUST00000028225.11	Psmd5	protein_coding	0	0	1	0	1	0	1	chr2:34852509-34854301|Locus_13597	group1
ENSMUSG00000026885.13	ENSMUST00000028248.10	Ttll11	protein_coding	0	0	1	1	1	0	2	chr2:35902530-35902979|Locus_16010,chr2:35751641-35752115|Locus_16011	group1
ENSMUSG00000026887.9	ENSMUST00000028250.8	Mrrf	protein_coding	0	0	1	0	1	0	1	chr2:36177195-36189644|Locus_14093	group1
ENSMUSG00000026889.12	ENSMUST00000028251.9	Rbm18	protein_coding	0	0	1	0	1	0	1	chr2:36117479-36117878|Locus_14105	group1
ENSMUSG00000026915.16	ENSMUST00000028279.9	Strbp	protein_coding	0	0	0	1	0	0	1	chr2:37580055-37580229|Locus_5431	group1
ENSMUSG00000026918.16	ENSMUST00000028282.14	Brd3	protein_coding	0	0	1	0	1	0	1	chr2:27448304-27449273|Locus_709	group1
ENSMUSG00000026923.15	ENSMUST00000028288.4	Notch1	protein_coding	0	0	2	2	0	0	4	chr2:26457993-26458862|Locus_146,chr2:26460653-26460702|Locus_4266,chr2:26460503-26460552|Locus_4267,chr2:26458403-26458852|Locus_4268	group1
ENSMUSG00000075467.4	ENSMUST00000028295.8	Dnlz	protein_coding	0	0	1	1	0	0	2	chr2:26351845-26352110|Locus_11957,chr2:26348471-26348695|Locus_11958	group1
ENSMUSG00000026942.13	ENSMUST00000028311.12	Traf2	protein_coding	0	0	1	0	1	0	1	chr2:25519007-25519431|Locus_6734	group1
ENSMUSG00000026955.13	ENSMUST00000028329.12	Sapcd2	protein_coding	0	0	1	0	1	0	1	chr2:25376465-25376539|Locus_15311	group1
ENSMUSG00000026960.6	ENSMUST00000028336.6	Arl6ip6	protein_coding	0	0	1	0	1	0	1	chr2:53217343-53217392|Locus_12986	group1
ENSMUSG00000026965.12	ENSMUST00000028341.10	Anapc2	protein_coding	0	0	1	0	0	0	1	chr2:25273115-25273389|Locus_17365	group1
ENSMUSG00000026966.6	ENSMUST00000028342.6	Ssna1	protein_coding	0	0	2	0	0	0	2	chr2:25272288-25272437|Locus_14321,chr2:25272088-25272137|Locus_14322	group1
ENSMUSG00000026970.16	ENSMUST00000028347.12	Rbms1	protein_coding	0	0	0	1	0	0	1	chr2:60751318-60751367|Locus_12553	group1
ENSMUSG00000026974.11	ENSMUST00000028350.8	Zmynd19	protein_coding	0	0	1	0	1	0	1	chr2:24958182-24959607|Locus_13718	group1
ENSMUSG00000026975.10	ENSMUST00000028351.8	Dph7	protein_coding	0	0	1	0	1	0	1	chr2:24971599-24972148|Locus_13741	group1
ENSMUSG00000026988.15	ENSMUST00000028368.13	Wdsub1	protein_coding	0	0	0	1	1	0	1	chr2:59852564-59852663|Locus_15342	group1
ENSMUSG00000075318.12	ENSMUST00000028377.13	Scn2a	protein_coding	0	0	3	0	1	0	3	chr2:65701845-65702044|Locus_1506,chr2:65717415-65726406|Locus_1507,chr2:65763740-65765289|Locus_1508	group1
ENSMUSG00000027001.10	ENSMUST00000028384.4	Dusp19	protein_coding	0	0	1	0	1	0	1	chr2:80630870-80631244|Locus_14203	group1
ENSMUSG00000027004.3	ENSMUST00000028389.3	Frzb	protein_coding	0	0	1	0	1	0	1	chr2:80413195-80413419|Locus_5196	group1
ENSMUSG00000027006.13	ENSMUST00000028392.7	Dnajc10	protein_coding	0	0	1	1	1	0	2	chr2:80315791-80317508|Locus_13502,chr2:80353065-80353414|Locus_13503	group1
ENSMUSG00000027011.14	ENSMUST00000028398.13	Ube2e3	protein_coding	0	0	0	1	1	0	1	chr2:78920129-78920178|Locus_6793	group1
ENSMUSG00000027035.10	ENSMUST00000028426.8	Cers6	protein_coding	0	0	0	1	1	0	1	chr2:69108627-69108676|Locus_9117	group1
ENSMUSG00000027088.10	ENSMUST00000028494.8	Phospho2	protein_coding	0	0	0	1	0	0	1	chr2:69796786-69799370|Locus_15703	group1
ENSMUSG00000027087.11	ENSMUST00000028499.10	Itgav	protein_coding	0	0	0	1	0	0	1	chr2:83803848-83803947|Locus_3441	group1
ENSMUSG00000027122.15	ENSMUST00000028536.12	Arl14ep	protein_coding	0	0	3	0	1	0	3	chr2:106969155-106970331|Locus_5911,chr2:106965372-106967149|Locus_5912,chr2:106964427-106965221|Locus_5913	group1
ENSMUSG00000027132.3	ENSMUST00000028552.3	Katnbl1	protein_coding	0	0	0	1	1	0	1	chr2:112412595-112412944|Locus_1163	group1
ENSMUSG00000027160.16	ENSMUST00000028580.11	Ccdc34	protein_coding	0	0	1	0	0	0	1	chr2:110040616-110040740|Locus_14249	group1
ENSMUSG00000027162.7	ENSMUST00000028583.7	Lin7c	protein_coding	0	0	2	0	2	0	2	chr2:109897308-109897357|Locus_6855,chr2:109897383-109897432|Locus_6856	group1
ENSMUSG00000027176.8	ENSMUST00000028599.7	Cstf3	protein_coding	0	0	1	0	1	1	2	chr2:104663950-104664049|Locus_7610,chr2:104664876-104665200|Locus_7611	group1
ENSMUSG00000027177.14	ENSMUST00000028600.13	Hipk3	protein_coding	0	0	2	0	1	0	2	chr2:104471005-104493227|Locus_207,chr2:104429781-104430180|Locus_208	group1
ENSMUSG00000027185.14	ENSMUST00000028608.12	Nat10	protein_coding	0	0	1	0	1	0	1	chr2:103721531-103724243|Locus_17346	group1
ENSMUSG00000027188.8	ENSMUST00000028612.7	Pamr1	protein_coding	0	0	1	0	1	0	1	chr2:102642221-102643020|Locus_5757	group1
ENSMUSG00000027193.12	ENSMUST00000028617.6	Api5	protein_coding	0	0	0	2	1	0	2	chr2:94413457-94413706|Locus_1879,chr2:94411807-94412306|Locus_1880	group1
ENSMUSG00000027199.14	ENSMUST00000028624.8	Gatm	protein_coding	0	0	0	1	1	0	1	chr2:122595442-122595491|Locus_13659	group1
ENSMUSG00000027210.20	ENSMUST00000028639.12	Meis2	protein_coding	0	1	2	0	1	0	3	chr2:116064997-116065046|Locus_4030,chr2:116064717-116064971|Locus_4031,chr2:115863364-115864438|Locus_4032	group1
ENSMUSG00000027220.2	ENSMUST00000028648.2	Syt13	protein_coding	0	0	1	0	1	0	1	chr2:92953623-92954072|Locus_16969	group1
ENSMUSG00000027236.8	ENSMUST00000028668.7	Eif3j1	protein_coding	0	0	1	1	0	0	2	chr2:122041627-122047438|Locus_78,chr2:122052744-122052843|Locus_79	group1
ENSMUSG00000027246.12	ENSMUST00000028679.10	Ell3	protein_coding	0	0	1	0	1	0	1	chr2:121439310-121439636|Locus_9915	group1
ENSMUSG00000027248.13	ENSMUST00000028683.13	Pdia3	protein_coding	0	0	1	0	1	0	1	chr2:121436403-121437973|Locus_3155	group1
ENSMUSG00000027253.15	ENSMUST00000028689.3	Lrp4	protein_coding	0	0	1	0	1	0	1	chr2:91511676-91512375|Locus_7604	group1
ENSMUSG00000027259.15	ENSMUST00000028702.9	Adal	protein_coding	0	0	1	0	1	0	1	chr2:121154799-121155663|Locus_16296	group1
ENSMUSG00000027272.5	ENSMUST00000028728.5	Ubr1	protein_coding	0	0	1	0	1	0	1	chr2:120862519-120862668|Locus_6808	group1
ENSMUSG00000027274.16	ENSMUST00000028730.12	Mkks	protein_coding	0	0	2	0	1	0	2	chr2:136881012-136885494|Locus_12746,chr2:136874155-136874454|Locus_12747	group1
ENSMUSG00000027276.7	ENSMUST00000028735.7	Jag1	protein_coding	0	0	1	0	1	0	1	chr2:137082931-137083330|Locus_3452	group1
ENSMUSG00000027281.16	ENSMUST00000028737.12	Slx4ip	protein_coding	0	0	1	1	1	0	2	chr2:137067796-137068495|Locus_15946,chr2:137068771-137069170|Locus_15947	group1
ENSMUSG00000090100.7	ENSMUST00000028740.10	Ttbk2	protein_coding	0	0	1	0	0	0	1	chr2:120850280-120850486|Locus_2766	group1
ENSMUSG00000027285.13	ENSMUST00000028741.13	Haus2	protein_coding	0	0	0	0	0	0	0	NA	group1
ENSMUSG00000027291.15	ENSMUST00000028752.7	Vps39	protein_coding	0	0	1	0	1	0	1	chr2:120317511-120319466|Locus_9914	group1
ENSMUSG00000027293.13	ENSMUST00000028755.7	Ehd4	protein_coding	0	0	2	0	1	0	2	chr2:120091400-120091549|Locus_17342,chr2:120090775-120091224|Locus_17343	group1
ENSMUSG00000027296.7	ENSMUST00000028758.7	Itpka	protein_coding	0	0	1	0	1	0	1	chr2:119750746-119751095|Locus_7626	group1
ENSMUSG00000027300.9	ENSMUST00000028761.4	Ubox5	protein_coding	0	0	3	2	1	0	5	chr2:130599892-130600566|Locus_2734,chr2:130599767-130599816|Locus_2735,chr2:130599692-130599741|Locus_2736,chr2:130591377-130591726|Locus_2737,chr2:130591302-130591351|Locus_2738	group1
ENSMUSG00000027304.9	ENSMUST00000028767.8	Rtf1	protein_coding	0	0	1	3	1	0	4	chr2:119705599-119712148|Locus_16369,chr2:119732927-119733026|Locus_16370,chr2:119733327-119733376|Locus_16371,chr2:119734502-119734801|Locus_16372	group1
ENSMUSG00000027313.3	ENSMUST00000028780.3	Chac1	protein_coding	0	0	1	0	1	0	1	chr2:119353420-119353794|Locus_14525	group1
ENSMUSG00000027312.14	ENSMUST00000028781.8	Atrn	protein_coding	0	0	1	2	1	0	3	chr2:131025826-131026025|Locus_1985,chr2:131026401-131026675|Locus_1986,chr2:131029576-131030125|Locus_1987	group1
ENSMUSG00000027315.13	ENSMUST00000028783.13	Spint1	protein_coding	0	0	1	0	1	0	1	chr2:119248911-119249335|Locus_5417	group1
ENSMUSG00000027324.1	ENSMUST00000028796.1	Rpusd2	protein_coding	0	0	1	1	2	0	2	chr2:119038264-119038888|Locus_10128,chr2:119038914-119038963|Locus_10129	group1
ENSMUSG00000027329.9	ENSMUST00000028801.7	Spef1	protein_coding	0	0	0	0	0	0	0	NA	group1
ENSMUSG00000027333.18	ENSMUST00000028806.11	Smox	protein_coding	0	1	0	0	0	0	1	chr2:131491856-131492005|Locus_7635	group1
ENSMUSG00000027332.11	ENSMUST00000028807.5	Ivd	protein_coding	0	0	0	1	0	0	1	chr2:118880805-118880879|Locus_12375	group1
ENSMUSG00000027339.15	ENSMUST00000028814.14	Rassf2	protein_coding	0	0	1	2	1	0	3	chr2:131994515-131998255|Locus_6209,chr2:131994215-131994439|Locus_6210,chr2:131993790-131993914|Locus_6211	group1
