anno	seqnames	start	end	width	peak	groupname	gene_type	gene_name	location	transcriptID
Promoter (ENSMUST00000036407.4)	chr19	57360680	57360779	100	chr19:57360680-57360779|Locus_7213	group1	protein_coding	Fam160b1	Promoter	ENSMUST00000036407.4
UTR3 (ENSMUST00000036407.4)	chr19	57386686	57386985	300	chr19:57386686-57386985|Locus_7214	group1	protein_coding	Fam160b1	UTR3	ENSMUST00000036407.4
Promoter (ENSMUST00000036407.4)	chr19	57360292	57360766	475	chr19:57360292-57360766|Locus_10845	group1	protein_coding	Fam160b1	Promoter	ENSMUST00000036407.4
CDS (ENSMUST00000036439.4, CDS 1 of 11, 491bp)	chr15	13034076	13034675	600	chr15:13034076-13034675|Locus_2216	group1	protein_coding	Cdh6	CDS	ENSMUST00000036439.4
CDS (ENSMUST00000036450.7, CDS 11 of 40, 748bp)	chr2	122065383	122065632	250	chr2:122065383-122065632|Locus_6112	group1	protein_coding	Spg11	CDS	ENSMUST00000036450.7
CDS (ENSMUST00000036450.7, CDS 11 of 40, 748bp)	chr2	122065058	122065357	300	chr2:122065058-122065357|Locus_6113	group1	protein_coding	Spg11	CDS	ENSMUST00000036450.7
CDS (ENSMUST00000036453.13, CDS 10 of 10, 682bp)	chr7	27673407	27674081	675	chr7:27673407-27674081|Locus_10019	group1	protein_coding	Map3k10	CDS	ENSMUST00000036453.13
CDS (ENSMUST00000036453.13, CDS 2 of 10, 681bp)	chr7	27658009	27658308	300	chr7:27658009-27658308|Locus_10020	group1	protein_coding	Map3k10	CDS	ENSMUST00000036453.13
CDS (ENSMUST00000036453.13, CDS 2 of 10, 681bp)	chr7	27656475	27657933	1459	chr7:27656475-27657933|Locus_10021	group1	protein_coding	Map3k10	CDS	ENSMUST00000036453.13
CDS (ENSMUST00000036453.13, CDS 1 of 10, 323bp)	chr7	27656495	27657019	525	chr7:27656495-27657019|Locus_15633	group1	protein_coding	Map3k10	CDS	ENSMUST00000036453.13
CDS (ENSMUST00000036470.13, CDS 1 of 3, 139bp)	chr2	119018254	119019153	900	chr2:119018254-119019153|Locus_9913	group1	protein_coding	Ccdc32	CDS	ENSMUST00000036470.13
CDS (ENSMUST00000036473.15, CDS 20 of 20, 172bp)	chr2	32254439	32254638	200	chr2:32254439-32254638|Locus_17357	group1	protein_coding	Pomt1	CDS	ENSMUST00000036473.15
UTR3 (ENSMUST00000036476.9)	chr4	142140834	142140983	150	chr4:142140834-142140983|Locus_15101	group1	protein_coding	Kazn	UTR3	ENSMUST00000036476.9
UTR5 (ENSMUST00000036489.9)	chr5	20951810	20952234	425	chr5:20951810-20952234|Locus_9260	group1	protein_coding	Rsbn1l	UTR5	ENSMUST00000036489.9
CDS (ENSMUST00000036489.9, CDS 7 of 8, 111bp)	chr5	20919602	20927708	8107	chr5:20919602-20927708|Locus_9261	group1	protein_coding	Rsbn1l	CDS	ENSMUST00000036489.9
CDS (ENSMUST00000036489.9, CDS 1 of 8, 630bp)	chr5	20896003	20896702	700	chr5:20896003-20896702|Locus_9262	group1	protein_coding	Rsbn1l	CDS	ENSMUST00000036489.9
UTR5 (ENSMUST00000036489.9)	chr5	20951814	20952213	400	chr5:20951814-20952213|Locus_10807	group1	protein_coding	Rsbn1l	UTR5	ENSMUST00000036489.9
CDS (ENSMUST00000036540.11, CDS 8 of 8, 319bp)	chr1	59981582	59982381	800	chr1:59981582-59982381|Locus_15563	group1	protein_coding	Fam117b	CDS	ENSMUST00000036540.11
CDS (ENSMUST00000036541.7, CDS 2 of 6, 152bp)	chr2	52401926	52405023	3098	chr2:52401926-52405023|Locus_16196	group1	protein_coding	Arl5a	CDS	ENSMUST00000036541.7
CDS (ENSMUST00000036561.7, CDS 18 of 19, 190bp)	chr9	119924188	119925678	1491	chr9:119924188-119925678|Locus_13940	group1	protein_coding	Wdr48	CDS	ENSMUST00000036561.7
UTR3 (ENSMUST00000036561.7)	chr9	119925729	119926003	275	chr9:119925729-119926003|Locus_13941	group1	protein_coding	Wdr48	UTR3	ENSMUST00000036561.7
UTR3 (ENSMUST00000036561.7)	chr9	119925732	119926006	275	chr9:119925732-119926006|Locus_16040	group1	protein_coding	Wdr48	UTR3	ENSMUST00000036561.7
UTR3 (ENSMUST00000036561.7)	chr9	119925257	119925681	425	chr9:119925257-119925681|Locus_16041	group1	protein_coding	Wdr48	UTR3	ENSMUST00000036561.7
CDS (ENSMUST00000036570.4, CDS 3 of 22, 51bp)	chr14	26923488	26926009	2522	chr14:26923488-26926009|Locus_15624	group1	protein_coding	Appl1	CDS	ENSMUST00000036570.4
CDS (ENSMUST00000036572.3, CDS 2 of 2, 341bp)	chr4	142031342	142037501	6160	chr4:142031342-142037501|Locus_6097	group1	protein_coding	Tmem51	CDS	ENSMUST00000036572.3
CDS (ENSMUST00000036579.13, CDS 52 of 69, 2214bp)	chr4	145156114	145156713	600	chr4:145156114-145156713|Locus_7903	group1	protein_coding	Vps13d	CDS	ENSMUST00000036579.13
CDS (ENSMUST00000036579.13, CDS 52 of 69, 2214bp)	chr4	145155389	145155988	600	chr4:145155389-145155988|Locus_7904	group1	protein_coding	Vps13d	CDS	ENSMUST00000036579.13
CDS (ENSMUST00000036579.13, CDS 52 of 69, 2214bp)	chr4	145152794	145155013	2220	chr4:145152794-145155013|Locus_7905	group1	protein_coding	Vps13d	CDS	ENSMUST00000036579.13
CDS (ENSMUST00000036579.13, CDS 50 of 69, 1032bp)	chr4	145148921	145149170	250	chr4:145148921-145149170|Locus_7906	group1	protein_coding	Vps13d	CDS	ENSMUST00000036579.13
CDS (ENSMUST00000036579.13, CDS 2 of 69, 241bp)	chr4	144974947	144976530	1584	chr4:144974947-144976530|Locus_7907	group1	protein_coding	Vps13d	CDS	ENSMUST00000036579.13
CDS (ENSMUST00000036584.11, CDS 6 of 7, 353bp)	chr19	34840707	34841106	400	chr19:34840707-34841106|Locus_16267	group1	protein_coding	Pank1	CDS	ENSMUST00000036584.11
CDS (ENSMUST00000036606.13, CDS 2 of 11, 1406bp)	chrX	99066023	99066147	125	chrX:99066023-99066147|Locus_8520	group1	protein_coding	Stard8	CDS	ENSMUST00000036606.13
CDS (ENSMUST00000036606.13, CDS 11 of 11, 118bp)	chrX	99073155	99073229	75	chrX:99073155-99073229|Locus_8521	group1	protein_coding	Stard8	CDS	ENSMUST00000036606.13
CDS (ENSMUST00000036619.13, CDS 7 of 10, 671bp)	chr18	25339867	25344870	5004	chr18:25339867-25344870|Locus_7090	group1	protein_coding	AW554918	CDS	ENSMUST00000036619.13
CDS (ENSMUST00000036631.13, CDS 3 of 3, 200bp)	chr8	31096318	31096467	150	chr8:31096318-31096467|Locus_13574	group1	protein_coding	Dusp26	CDS	ENSMUST00000036631.13
UTR3 (ENSMUST00000036631.13)	chr8	31096768	31097042	275	chr8:31096768-31097042|Locus_13575	group1	protein_coding	Dusp26	UTR3	ENSMUST00000036631.13
CDS (ENSMUST00000036647.12, CDS 11 of 12, 96bp)	chr2	122007721	122010991	3271	chr2:122007721-122010991|Locus_10977	group1	protein_coding	Ctdspl2	CDS	ENSMUST00000036647.12
UTR5 (ENSMUST00000036653.3)	chr14	74641340	74641839	500	chr14:74641340-74641839|Locus_3298	group1	protein_coding	Htr2a	UTR5	ENSMUST00000036653.3
CDS (ENSMUST00000036653.3, CDS 1 of 3, 412bp)	chr14	74641865	74642239	375	chr14:74641865-74642239|Locus_3299	group1	protein_coding	Htr2a	CDS	ENSMUST00000036653.3
CDS (ENSMUST00000036653.3, CDS 3 of 3, 803bp)	chr14	74705989	74706638	650	chr14:74705989-74706638|Locus_3300	group1	protein_coding	Htr2a	CDS	ENSMUST00000036653.3
Intron (ENSMUST00000036665.9, intron 13 of 18)	chr3	52994054	52994353	300	chr3:52994054-52994353|Locus_13927	group1	protein_coding	Cog6	Intron	ENSMUST00000036665.9
CDS (ENSMUST00000036680.7, CDS 1 of 4, 288bp)	chr4	151982964	151983338	375	chr4:151982964-151983338|Locus_14715	group1	protein_coding	Thap3	CDS	ENSMUST00000036680.7
UTR3 (ENSMUST00000036682.8)	chr14	8164576	8164850	275	chr14:8164576-8164850|Locus_6601	group1	protein_coding	Pxk	UTR3	ENSMUST00000036682.8
CDS (ENSMUST00000036700.5, CDS 1 of 1, 1398bp)	chr19	54046276	54046450	175	chr19:54046276-54046450|Locus_1691	group1	protein_coding	Adra2a	CDS	ENSMUST00000036700.5
CDS (ENSMUST00000036700.5, CDS 1 of 1, 1398bp)	chr19	54047576	54047825	250	chr19:54047576-54047825|Locus_1692	group1	protein_coding	Adra2a	CDS	ENSMUST00000036700.5
UTR3 (ENSMUST00000036700.5)	chr19	54048551	54048725	175	chr19:54048551-54048725|Locus_1693	group1	protein_coding	Adra2a	UTR3	ENSMUST00000036700.5
UTR3 (ENSMUST00000036719.11)	chr2	166567117	166567591	475	chr2:166567117-166567591|Locus_10256	group1	protein_coding	Prex1	UTR3	ENSMUST00000036719.11
CDS (ENSMUST00000036720.8, CDS 1 of 1, 1044bp)	chr17	34645314	34646324	1011	chr17:34645314-34646324|Locus_12352	group1	protein_coding	Fkbpl	CDS	ENSMUST00000036720.8
CDS (ENSMUST00000036734.5, CDS 2 of 2, 319bp)	chr8	84834139	84834788	650	chr8:84834139-84834788|Locus_601	group1	protein_coding	Gadd45gip1	CDS	ENSMUST00000036734.5
CDS (ENSMUST00000036734.5, CDS 2 of 2, 319bp)	chr8	84834094	84834770	677	chr8:84834094-84834770|Locus_4876	group1	protein_coding	Gadd45gip1	CDS	ENSMUST00000036734.5
CDS (ENSMUST00000036744.7, CDS 1 of 2, 412bp)	chr19	4757634	4757808	175	chr19:4757634-4757808|Locus_13424	group1	protein_coding	Rbm4b	CDS	ENSMUST00000036744.7
CDS (ENSMUST00000036744.7, CDS 2 of 2, 662bp)	chr19	4761309	4762292	984	chr19:4761309-4762292|Locus_13425	group1	protein_coding	Rbm4b	CDS	ENSMUST00000036744.7
CDS (ENSMUST00000036744.7, CDS 2 of 2, 662bp)	chr19	4762393	4762617	225	chr19:4762393-4762617|Locus_13426	group1	protein_coding	Rbm4b	CDS	ENSMUST00000036744.7
CDS (ENSMUST00000036759.10, CDS 28 of 30, 615bp)	chr6	116258661	116259035	375	chr6:116258661-116259035|Locus_10301	group1	protein_coding	Washc2	CDS	ENSMUST00000036759.10
CDS (ENSMUST00000036796.7, CDS 15 of 15, 703bp)	chr11	53186334	53186958	625	chr11:53186334-53186958|Locus_10655	group1	protein_coding	Fstl4	CDS	ENSMUST00000036796.7
UTR3 (ENSMUST00000036796.7)	chr11	53187034	53187158	125	chr11:53187034-53187158|Locus_10656	group1	protein_coding	Fstl4	UTR3	ENSMUST00000036796.7
CDS (ENSMUST00000036807.12, CDS 3 of 3, 366bp)	chr8	26162650	26162899	250	chr8:26162650-26162899|Locus_15760	group1	protein_coding	Thap1	CDS	ENSMUST00000036807.12
UTR5 (ENSMUST00000036825.13)	chr13	54766426	54766595	170	chr13:54766426-54766595|Locus_842	group1	protein_coding	Sncb	UTR5	ENSMUST00000036825.13
CDS (ENSMUST00000036854.3, CDS 4 of 4, 308bp)	chr4	141874815	141874889	75	chr4:141874815-141874889|Locus_10299	group1	protein_coding	Efhd2	CDS	ENSMUST00000036854.3
CDS (ENSMUST00000036865.12, CDS 37 of 37, 72bp)	chr7	79449331	79449680	350	chr7:79449331-79449680|Locus_4596	group1	protein_coding	Fanci	CDS	ENSMUST00000036865.12
CDS (ENSMUST00000036865.12, CDS 35 of 37, 96bp)	chr7	79448756	79449030	275	chr7:79448756-79449030|Locus_4597	group1	protein_coding	Fanci	CDS	ENSMUST00000036865.12
CDS (ENSMUST00000036865.12, CDS 35 of 37, 96bp)	chr7	79448832	79449031	200	chr7:79448832-79449031|Locus_5600	group1	protein_coding	Fanci	CDS	ENSMUST00000036865.12
CDS (ENSMUST00000036872.15, CDS 11 of 12, 158bp)	chr5	142666190	142667247	1058	chr5:142666190-142667247|Locus_16106	group1	protein_coding	Wipi2	CDS	ENSMUST00000036872.15
CDS (ENSMUST00000036877.9, CDS 18 of 18, 974bp)	chr6	39522826	39523575	750	chr6:39522826-39523575|Locus_5694	group1	protein_coding	Dennd2a	CDS	ENSMUST00000036877.9
UTR3 (ENSMUST00000036877.9)	chr6	39463078	39463202	125	chr6:39463078-39463202|Locus_5695	group1	protein_coding	Dennd2a	UTR3	ENSMUST00000036877.9
CDS (ENSMUST00000036884.1, CDS 1 of 2, 505bp)	chr19	23141676	23142100	425	chr19:23141676-23142100|Locus_3627	group1	protein_coding	Klf9	CDS	ENSMUST00000036884.1
CDS (ENSMUST00000036884.1, CDS 2 of 2, 230bp)	chr19	23164745	23165919	1175	chr19:23164745-23165919|Locus_3628	group1	protein_coding	Klf9	CDS	ENSMUST00000036884.1
CDS (ENSMUST00000036904.6, CDS 2 of 2, 1826bp)	chr15	58898443	58900367	1925	chr15:58898443-58900367|Locus_13114	group1	protein_coding	Rnf139	CDS	ENSMUST00000036904.6
CDS (ENSMUST00000036904.6, CDS 2 of 2, 1826bp)	chr15	58890605	58900337	9733	chr15:58890605-58900337|Locus_14675	group1	protein_coding	Rnf139	CDS	ENSMUST00000036904.6
UTR5 (ENSMUST00000036928.11)	chr1	181017507	181020779	3273	chr1:181017507-181020779|Locus_2651	group1	protein_coding	Ephx1	UTR5	ENSMUST00000036928.11
CDS (ENSMUST00000036937.7, CDS 1 of 1, 1341bp)	chr15	58872999	58874298	1300	chr15:58872999-58874298|Locus_14258	group1	protein_coding	Trmt12	CDS	ENSMUST00000036937.7
CDS (ENSMUST00000036952.4, CDS 2 of 3, 512bp)	chr11	52403156	52403580	425	chr11:52403156-52403580|Locus_6008	group1	protein_coding	9530068E07Rik	CDS	ENSMUST00000036952.4
CDS (ENSMUST00000036954.8, CDS 1 of 2, 524bp)	chr1	89928906	89928955	50	chr1:89928906-89928955|Locus_2980	group1	protein_coding	Gbx2	CDS	ENSMUST00000036954.8
CDS (ENSMUST00000036954.8, CDS 1 of 2, 524bp)	chr1	89928206	89928730	525	chr1:89928206-89928730|Locus_2981	group1	protein_coding	Gbx2	CDS	ENSMUST00000036954.8
CDS (ENSMUST00000036972.12, CDS 7 of 8, 1378bp)	chr14	49773910	49773984	75	chr14:49773910-49773984|Locus_13836	group1	protein_coding	3632451O06Rik	CDS	ENSMUST00000036972.12
CDS (ENSMUST00000036972.12, CDS 7 of 8, 1378bp)	chr14	49772935	49773609	675	chr14:49772935-49773609|Locus_13837	group1	protein_coding	3632451O06Rik	CDS	ENSMUST00000036972.12
CDS (ENSMUST00000036972.12, CDS 5 of 8, 192bp)	chr14	49729307	49768522	39216	chr14:49729307-49768522|Locus_13838	group1	protein_coding	3632451O06Rik	CDS	ENSMUST00000036972.12
CDS (ENSMUST00000036972.12, CDS 2 of 8, 135bp)	chr14	49682152	49682746	595	chr14:49682152-49682746|Locus_13839	group1	protein_coding	3632451O06Rik	CDS	ENSMUST00000036972.12
UTR3 (ENSMUST00000036977.8)	chr7	140150703	140150752	50	chr7:140150703-140150752|Locus_5896	group1	protein_coding	Mtg1	UTR3	ENSMUST00000036977.8
UTR5 (ENSMUST00000036996.5)	chr8	83566721	83566770	50	chr8:83566721-83566770|Locus_13552	group1	protein_coding	Ndufb7	UTR5	ENSMUST00000036996.5
CDS (ENSMUST00000036999.9, CDS 8 of 15, 936bp)	chr5	134502633	134503332	700	chr5:134502633-134503332|Locus_9995	group1	protein_coding	Clip2	CDS	ENSMUST00000036999.9
CDS (ENSMUST00000036999.9, CDS 1 of 15, 12bp)	chr5	134490433	134490782	350	chr5:134490433-134490782|Locus_9996	group1	protein_coding	Clip2	CDS	ENSMUST00000036999.9
UTR5 (ENSMUST00000037012.2)	chr2	107290714	107290763	50	chr2:107290714-107290763|Locus_3482	group1	protein_coding	Kcna4	UTR5	ENSMUST00000037012.2
UTR5 (ENSMUST00000037012.2)	chr2	107294345	107294919	575	chr2:107294345-107294919|Locus_3483	group1	protein_coding	Kcna4	UTR5	ENSMUST00000037012.2
CDS (ENSMUST00000037012.2, CDS 1 of 1, 1965bp)	chr2	107295095	107296994	1900	chr2:107295095-107296994|Locus_3484	group1	protein_coding	Kcna4	CDS	ENSMUST00000037012.2
UTR3 (ENSMUST00000037012.2)	chr2	107297495	107297969	475	chr2:107297495-107297969|Locus_3485	group1	protein_coding	Kcna4	UTR3	ENSMUST00000037012.2
CDS (ENSMUST00000037014.10, CDS 1 of 5, 420bp)	chr12	112809362	112809661	300	chr12:112809362-112809661|Locus_6486	group1	protein_coding	BC022687	CDS	ENSMUST00000037014.10
CDS (ENSMUST00000037025.15, CDS 19 of 20, 153bp)	chr13	47080524	47083134	2611	chr13:47080524-47083134|Locus_6525	group1	protein_coding	Kdm1b	CDS	ENSMUST00000037025.15
CDS (ENSMUST00000037029.5, CDS 1 of 3, 275bp)	chr18	4649164	4649488	325	chr18:4649164-4649488|Locus_8955	group1	protein_coding	Jcad	CDS	ENSMUST00000037029.5
CDS (ENSMUST00000037029.5, CDS 2 of 3, 3653bp)	chr18	4649864	4673225	23362	chr18:4649864-4673225|Locus_8956	group1	protein_coding	Jcad	CDS	ENSMUST00000037029.5
CDS (ENSMUST00000037029.5, CDS 2 of 3, 3653bp)	chr18	4673726	4673925	200	chr18:4673726-4673925|Locus_8957	group1	protein_coding	Jcad	CDS	ENSMUST00000037029.5
CDS (ENSMUST00000037029.5, CDS 2 of 3, 3653bp)	chr18	4673951	4674125	175	chr18:4673951-4674125|Locus_8958	group1	protein_coding	Jcad	CDS	ENSMUST00000037029.5
CDS (ENSMUST00000037029.5, CDS 2 of 3, 3653bp)	chr18	4674326	4676100	1775	chr18:4674326-4676100|Locus_8959	group1	protein_coding	Jcad	CDS	ENSMUST00000037029.5
CDS (ENSMUST00000037035.11, CDS 2 of 11, 162bp)	chr4	16123558	16124465	908	chr4:16123558-16124465|Locus_4793	group1	protein_coding	Ripk2	CDS	ENSMUST00000037035.11
CDS (ENSMUST00000037048.8, CDS 1 of 7, 204bp)	chr5	142564458	142564807	350	chr5:142564458-142564807|Locus_16141	group1	protein_coding	Mmd2	CDS	ENSMUST00000037048.8
UTR3 (ENSMUST00000037048.8)	chr5	142563483	142563907	425	chr5:142563483-142563907|Locus_16142	group1	protein_coding	Mmd2	UTR3	ENSMUST00000037048.8
CDS (ENSMUST00000037055.13, CDS 29 of 29, 138bp)	chr4	141007056	141007330	275	chr4:141007056-141007330|Locus_16103	group1	protein_coding	Atp13a2	CDS	ENSMUST00000037055.13
CDS (ENSMUST00000037057.13, CDS 1 of 4, 2144bp)	chr17	23176769	23177118	350	chr17:23176769-23177118|Locus_7385	group1	protein_coding	Zfp40	CDS	ENSMUST00000037057.13
CDS (ENSMUST00000037057.13, CDS 1 of 4, 2144bp)	chr17	23175269	23176118	850	chr17:23175269-23176118|Locus_7386	group1	protein_coding	Zfp40	CDS	ENSMUST00000037057.13
CDS (ENSMUST00000037057.13, CDS 1 of 4, 2144bp)	chr17	23175144	23175243	100	chr17:23175144-23175243|Locus_7387	group1	protein_coding	Zfp40	CDS	ENSMUST00000037057.13
UTR3 (ENSMUST00000037057.13)	chr17	23174969	23175118	150	chr17:23174969-23175118|Locus_7388	group1	protein_coding	Zfp40	UTR3	ENSMUST00000037057.13
CDS (ENSMUST00000037064.4, CDS 3 of 4, 229bp)	chr14	69248699	69249548	850	chr14:69248699-69249548|Locus_14003	group1	protein_coding	Slc25a37	CDS	ENSMUST00000037064.4
CDS (ENSMUST00000037064.4, CDS 1 of 4, 521bp)	chr14	69244773	69245347	575	chr14:69244773-69245347|Locus_14004	group1	protein_coding	Slc25a37	CDS	ENSMUST00000037064.4
CDS (ENSMUST00000037096.8, CDS 1 of 13, 267bp)	chr2	156312221	156312694	474	chr2:156312221-156312694|Locus_4631	group1	protein_coding	Cnbd2	CDS	ENSMUST00000037096.8
CDS (ENSMUST00000037096.8, CDS 1 of 13, 267bp)	chr2	156312424	156312798	375	chr2:156312424-156312798|Locus_14966	group1	protein_coding	Cnbd2	CDS	ENSMUST00000037096.8
CDS (ENSMUST00000037097.7, CDS 18 of 27, 878bp)	chr18	25090174	25090623	450	chr18:25090174-25090623|Locus_7088	group1	protein_coding	Fhod3	CDS	ENSMUST00000037097.7
CDS (ENSMUST00000037097.7, CDS 26 of 27, 162bp)	chr18	25130660	25133075	2416	chr18:25130660-25133075|Locus_7089	group1	protein_coding	Fhod3	CDS	ENSMUST00000037097.7
CDS (ENSMUST00000037099.8, CDS 1 of 6, 165bp)	chr4	135216944	135217218	275	chr4:135216944-135217218|Locus_10392	group1	protein_coding	Clic4	CDS	ENSMUST00000037099.8
CDS (ENSMUST00000037119.3, CDS 1 of 3, 313bp)	chr2	71527889	71537653	9765	chr2:71527889-71537653|Locus_1528	group1	protein_coding	Dlx1	CDS	ENSMUST00000037119.3
CDS (ENSMUST00000037119.3, CDS 1 of 3, 313bp)	chr2	71529788	71530037	250	chr2:71529788-71530037|Locus_2483	group1	protein_coding	Dlx1	CDS	ENSMUST00000037119.3
CDS (ENSMUST00000037119.3, CDS 2 of 3, 200bp)	chr2	71530786	71531035	250	chr2:71530786-71531035|Locus_2484	group1	protein_coding	Dlx1	CDS	ENSMUST00000037119.3
CDS (ENSMUST00000037119.3, CDS 3 of 3, 255bp)	chr2	71531936	71532410	475	chr2:71531936-71532410|Locus_2485	group1	protein_coding	Dlx1	CDS	ENSMUST00000037119.3
UTR3 (ENSMUST00000037119.3)	chr2	71532536	71533685	1150	chr2:71532536-71533685|Locus_2486	group1	protein_coding	Dlx1	UTR3	ENSMUST00000037119.3
UTR5 (ENSMUST00000037141.8)	chr3	51560800	51560899	100	chr3:51560800-51560899|Locus_34	group1	protein_coding	Setd7	UTR5	ENSMUST00000037141.8
UTR3 (ENSMUST00000037141.8)	chr3	51521144	51521268	125	chr3:51521144-51521268|Locus_15692	group1	protein_coding	Setd7	UTR3	ENSMUST00000037141.8
UTR5 (ENSMUST00000037181.15)	chr12	67222403	67222527	125	chr12:67222403-67222527|Locus_10808	group1	protein_coding	Mdga2	UTR5	ENSMUST00000037181.15
UTR5 (ENSMUST00000037181.15)	chr12	67221528	67222252	725	chr12:67221528-67222252|Locus_10809	group1	protein_coding	Mdga2	UTR5	ENSMUST00000037181.15
CDS (ENSMUST00000037181.15, CDS 17 of 17, 280bp)	chr12	67221128	67221202	75	chr12:67221128-67221202|Locus_10810	group1	protein_coding	Mdga2	CDS	ENSMUST00000037181.15
CDS (ENSMUST00000037181.15, CDS 11 of 17, 330bp)	chr12	66619949	66655425	35477	chr12:66619949-66655425|Locus_10811	group1	protein_coding	Mdga2	CDS	ENSMUST00000037181.15
CDS (ENSMUST00000037181.15, CDS 1 of 17, 89bp)	chr12	66470960	66471584	625	chr12:66470960-66471584|Locus_10812	group1	protein_coding	Mdga2	CDS	ENSMUST00000037181.15
CDS (ENSMUST00000037198.9, CDS 1 of 6, 1033bp)	chr4	15998296	15998945	650	chr4:15998296-15998945|Locus_5635	group1	protein_coding	Osgin2	CDS	ENSMUST00000037198.9
CDS (ENSMUST00000037205.10, CDS 2 of 3, 338bp)	chr7	64400442	64412069	11628	chr7:64400442-64412069|Locus_15754	group1	protein_coding	Mcee	CDS	ENSMUST00000037205.10
CDS (ENSMUST00000037218.1, CDS 3 of 3, 268bp)	chr11	5059923	5060385	463	chr11:5059923-5060385|Locus_16246	group1	protein_coding	Rasl10a	CDS	ENSMUST00000037218.1
CDS (ENSMUST00000037235.6, CDS 3 of 3, 956bp)	chr2	153054115	153054314	200	chr2:153054115-153054314|Locus_7645	group1	protein_coding	Xkr7	CDS	ENSMUST00000037235.6
CDS (ENSMUST00000037235.6, CDS 3 of 3, 956bp)	chr2	153054515	153054964	450	chr2:153054515-153054964|Locus_7646	group1	protein_coding	Xkr7	CDS	ENSMUST00000037235.6
CDS (ENSMUST00000037248.9, CDS 4 of 7, 1082bp)	chr7	126863539	126863938	400	chr7:126863539-126863938|Locus_8258	group1	protein_coding	Hirip3	CDS	ENSMUST00000037248.9
CDS (ENSMUST00000037260.6, CDS 1 of 1, 1500bp)	chr15	75941152	75949189	8038	chr15:75941152-75949189|Locus_16815	group1	protein_coding	Zfp623	CDS	ENSMUST00000037260.6
UTR3 (ENSMUST00000037270.3)	chr15	58454955	58455979	1025	chr15:58454955-58455979|Locus_5780	group1	protein_coding	Fam91a1	UTR3	ENSMUST00000037270.3
CDS (ENSMUST00000037275.5, CDS 10 of 16, 729bp)	chr9	37315496	37315695	200	chr9:37315496-37315695|Locus_9558	group1	protein_coding	Ccdc15	CDS	ENSMUST00000037275.5
CDS (ENSMUST00000037280.4, CDS 4 of 5, 1871bp)	chr2	119292937	119293111	175	chr2:119292937-119293111|Locus_7620	group1	protein_coding	Vps18	CDS	ENSMUST00000037280.4
CDS (ENSMUST00000037280.4, CDS 4 of 5, 1871bp)	chr2	119293312	119293386	75	chr2:119293312-119293386|Locus_7621	group1	protein_coding	Vps18	CDS	ENSMUST00000037280.4
CDS (ENSMUST00000037280.4, CDS 4 of 5, 1871bp)	chr2	119293537	119293911	375	chr2:119293537-119293911|Locus_7622	group1	protein_coding	Vps18	CDS	ENSMUST00000037280.4
CDS (ENSMUST00000037280.4, CDS 4 of 5, 1871bp)	chr2	119294137	119294311	175	chr2:119294137-119294311|Locus_7623	group1	protein_coding	Vps18	CDS	ENSMUST00000037280.4
CDS (ENSMUST00000037280.4, CDS 5 of 5, 726bp)	chr2	119297093	119297617	525	chr2:119297093-119297617|Locus_7624	group1	protein_coding	Vps18	CDS	ENSMUST00000037280.4
UTR3 (ENSMUST00000037280.4)	chr2	119297793	119298367	575	chr2:119297793-119298367|Locus_7625	group1	protein_coding	Vps18	UTR3	ENSMUST00000037280.4
UTR3 (ENSMUST00000037286.9)	chr1	120342800	120342999	200	chr1:120342800-120342999|Locus_7229	group1	protein_coding	C1ql2	UTR3	ENSMUST00000037286.9
CDS (ENSMUST00000037290.11, CDS 1 of 21, 147bp)	chr10	127296221	127296370	150	chr10:127296221-127296370|Locus_6300	group1	protein_coding	Mars	CDS	ENSMUST00000037290.11
CDS (ENSMUST00000037299.14, CDS 2 of 5, 1521bp)	chr2	180905627	180912019	6393	chr2:180905627-180912019|Locus_7704	group1	protein_coding	Ythdf1	CDS	ENSMUST00000037299.14
CDS (ENSMUST00000037302.5, CDS 12 of 13, 259bp)	chr19	38916665	38918114	1450	chr19:38916665-38918114|Locus_5658	group1	protein_coding	Tbc1d12	CDS	ENSMUST00000037302.5
CDS (ENSMUST00000037330.4, CDS 1 of 2, 271bp)	chr1	75507077	75507301	225	chr1:75507077-75507301|Locus_3400	group1	protein_coding	Inha	CDS	ENSMUST00000037330.4
UTR3 (ENSMUST00000037337.9)	chr5	53903449	53903498	50	chr5:53903449-53903498|Locus_13762	group1	protein_coding	Tbc1d19	UTR3	ENSMUST00000037337.9
UTR3 (ENSMUST00000037337.9)	chr5	53903524	53903573	50	chr5:53903524-53903573|Locus_13763	group1	protein_coding	Tbc1d19	UTR3	ENSMUST00000037337.9
UTR3 (ENSMUST00000037341.13)	chr10	18533395	18533469	75	chr10:18533395-18533469|Locus_6235	group1	protein_coding	Nhsl1	UTR3	ENSMUST00000037341.13
CDS (ENSMUST00000037360.7, CDS 1 of 3, 444bp)	chr2	119269801	119270400	600	chr2:119269801-119270400|Locus_7618	group1	protein_coding	Rhov	CDS	ENSMUST00000037360.7
UTR3 (ENSMUST00000037360.7)	chr2	119269276	119269600	325	chr2:119269276-119269600|Locus_7619	group1	protein_coding	Rhov	UTR3	ENSMUST00000037360.7
CDS (ENSMUST00000037378.5, CDS 3 of 3, 247bp)	chr11	83440918	83441442	525	chr11:83440918-83441442|Locus_1917	group1	protein_coding	1700020L24Rik	CDS	ENSMUST00000037378.5
